Station, Latitude, Longitude
Anp Chour, 28.8206716734348, 84.0167422961106
Baglung, 28.2784060352627, 83.5814735830178
Bahrabise, 27.8008520185417, 85.9159395091422
Baitadi, 29.5189673071307, 80.4680939469813
Bajura (Martadi), 29.4542734941962, 81.5347608604059
Bandipu,	27.9234757582449,	84.4055396693262
Begnas,	28.1648153775079,	84.099372509185
Beni Bazar,	28.3544747093455,	83.5693342727613
Besishahar,	28.1981386842735,	84.3817378018705
Bhairahawa (Agric),	27.5089085198846,	83.4356757249828
Bhairahawa Airport,	27.5066147494215,	83.4176318679228
Bhaktapur,	27.6716149937885,	85.4306454571813
Bharatpur,	27.6737864256001,	84.4395226324575
Bhimgithhe,	28.2777964515386,	83.1790331901916
Bhorletar,	28.1698310887969,	84.2161663544494
Bijuwar Tar,	28.1197103962344,	82.8572979631468
Biratnagar Airport,	26.4850828444848,	87.2659515599422
Birganj,	27.0485734387801,	84.8688758354772
Buddhanilakantha,	27.7655958956465,	85.3654881355853
Butwal,	27.6886542072105,	83.437326475186
Chainpur (East),	27.2651123888693,	87.2403067515725
Chainpur (West),	29.6025961521495,	81.1972006341933
Chainpur Bajhang Aws Climate,	29.6073215250677,	81.1975437495169
Chandra Gadhi,	26.5894918626949,	88.077452864226
Changu Narayan,	27.7032034174617,	85.4370482101002
Chapkot,	27.8951220196241,	83.8174706823728
Charikot,	27.6757533220931,	86.0450559763552
Chatara,	26.8149720436544,	87.1925250135632
Chaurjhari Tar,	28.6322799667109,	82.1930054278854
Chautara,	27.7805912845624,	85.6954153289993
Chhoser,	29.2203243947685,	84.0782598660587
Chisapani(Karnali),	28.6372539736509,	81.2815298797415
Dadeldhura,	29.2093337339973,	80.4511369137427
Dailekh,	28.9202763801117,	81.6441043957032
Dainsili,	27.7399194288698,	85.3363431114717
Damak,	26.6732557763688,	87.6699072938457
Daman,	27.6098767701759,	85.1019698443951
Damauli,	28.002093148924,	84.2618591243704
Dandaswara,	28.0870596130811,	83.921867677297
Darchula,	29.9590514220477,	80.9056924020903
Darchula New,	29.8390278232577,	80.5366912220899
Dhading,	27.8222057859127,	84.9057984428423
Dhangadhi(Attariya),	28.6893036520184,	80.6190760322652
Dhankuta,	26.9839972445952,	87.322421805713
Dharan Bazar,	26.8090524348895,	87.2905133755103
Dhulikhel,	27.6275282924444,	85.5567266027428
Dhunche, 28.1086216426648,	85.2960481718154
Dhunibesi,	27.7558532602458,	85.1503290424162
Diktel,	27.2215463286594,	86.7910440872458
Dipal Gaun,	17.352180,	78.398260
Dipayal (Doti),	29.2636401035511,	80.9363492445534
Dumkauli,	27.6748864512518,	84.2073904374888
Dunai,	28.8815514757118,	82.8839333653287
Gaida (Kankai),	26.6555314981969,	87.9146923709533
Gam Shree Nagar,	29.6374487784174,	81.9677072423904
Gaur,	26.7862986207769,	85.2787762756562
Ghale Kharka,	28.0678269452562,	84.928574569357
Ghorai (Dang),	28.0548764095311,	82.479853123171
Godavari,	27.6022454465296,	85.3635081055799
Godavari(West),	28.0438933173683,	83.1719594409824
Gokuleshwar,	29.6535735261162,	80.5218158578971
Gorkha,	27.9840185675923,	84.6487406641444
Gulariya,	28.2235136482259,	81.3297661837192
Gurja Khani,	28.6705559230378,	83.1842979077592
Hardinath,	26.7756877123631,	85.9680235725103
Hetaunda N.f.i.,	27.401338,	85.027270
Humde,	27.712020,	85.312950
Ilam Tea Estate,	26.9096172056712,	87.923133665068
Jajarkot,	28.6993043237206,	82.1895308721763
Jalesore,	26.6554959788699,	85.7973190347587
Janakpur Airport,	26.7125726888666,	85.9261530500075
Jhingrana,	29.5403231000069,	81.0149091099806
Jiri,	27.6308464487102,	86.2268238832032
Jomsom,	28.7774620424448,	83.7784127554792
Jumla,	29.301749376915,	82.2997829266689
Jumla A/P,	29.2843829271667,	82.1947261650907
Jyamirebari,	27.8598891450876,	85.1007569979079
Kabre,	27.6440993377291,	86.1573804364591
Kaigaun,	29.2688943249865,	82.6899719022753
Kakani,	27.8273215376984,	85.2486666148349
Kanyam Tea Estate,	26.8691289497466,	88.0782915448116
Karmaiya,	27.0920803780181,	85.4637220463163
Kathmandu Airport,	27.7011203300362,	85.3583926204102
Kechana,	26.3895735743386,	88.0047788240351
Khadbari,	27.3923979323962,	87.2117861022794
Khairini Tar,	28.0512341199902,	84.1218813139147
Khajura (Nepalganj),	28.1158919878402,	81.5976745133509
Khanchikot,	27.9357530045489,	83.1194125820723
Khokana,	27.6429027667057,	85.2948203755814
Khudi Bazar,	28.2913261594037,	84.3572599532343
Khumaltar,	27.6483980020828,	85.3250598600672
Kushma,	28.2351783298534,	83.6846907446665
Lahan,	26.7268981381767,	86.4709624675351
Lete,	28.6065918619189,	83.6043651539928
Libang Gaun,	28.2275250279425,	82.9707885350527
Lumbini,	27.4906572744868,	83.2810441333728
Lumbini Mandir,	27.4697170011177,	83.2758084614314
Lumle,	28.3768668354572,	83.8298089895549
Mahendra Nagar,	28.991453769225,	80.169108751319
Malepatan (Pokhara),	28.2184615415424,	83.972496991616
Mandan,	27.704648196903,	85.6522454270524
Mangalsen,	29.1069073345769,	81.2338813447848
Manma,	29.1428001139439,	81.6123207070237
Manthali,	27.3927253178114,	86.0670928865882
Manusmara,	26.9600406684041,	85.551041750597
Mehalkuna,	28.4236166699642,	81.8563504755569
Musikot(Rukumkot),	28.5975275805506,	82.548218513857
Nagarkot,	27.712437806674,	85.4971893708138
Nagma,	27.7738120925476,	85.444453600189
Nepalgunj Airport,	28.1017466736128,	81.6674691836101
Nepalgunj(Reg.off.),	28.0580047036326,	81.6142398356834
Num,	27.529000386496,	87.3483677859597
Nuwakot,	27.9190779344947,	85.1648781129966
Okhaldhunga,	27.3165420115323,	86.4965511893747
Oli Gaun (Patkani),	29.6250058097313,	81.3102795884634
Pakhribas,	27.0756373988345,	87.2320727920807
Panchase,	28.2325595340906,	83.7912859438996
Panchkhal,	27.6521325819727,	85.6087142170758
Panipokhari(Kathmandu),	27.7364420923856,	85.3277907916647
Pansayakhola,	27.8268772490222,	85.2255534802774
Parasi,	27.5284489331183,	83.6758191176503
Parwanipur,	27.0718963899243,	84.9157712427745
Patan (West),	29.4790113057799,	80.5732855031477
Patan New,	29.4710910139722,	80.5626656379229
Phatepur,	26.723115557409,	86.9300528828537
Phidim (Panchther),	27.1232822029388,	87.7658538564146
Pokhara Airport,	28.1997580785435,	83.9780638967639
Pokhara Reg. Off.,	28.2229763794422,	83.9853671975705
Pusma Camp,	28.5965844171156,	81.6181873516313
Rajbiraj,	26.5447954777225,	86.7560491939742
Rampur,	27.8548375411934,	83.8969443299834
Rani Jaruwa Nursery,	28.33735833,	81.33784167
Rara,	29.5441821415395,	82.060259304624
Salleri,	27.49594467972,	86.5724762480711
Salyan Bazar,	27.4019990797598,	86.5270966402563
Sandhikharka,	27.96523085,	83.1392098253792
Sarmathang,	27.9446537066334,	85.5934201885492
Semari,	27.4675149971382,	83.7864372751802
Sikta,	28.0344628329825,	81.9592135780062
Silgadhi Doti,	29.2700793182526,	80.9304698421313
Simara Airport,	27.1644973094004,	84.982446865074
Simikot,	29.9841927803683,	81.8334207317266
Sindhuli Madhi,	27.1921491830693,	85.9084510197101
Siraha,	26.6439515367258,	86.1854990060996
Surkhet (Birendra Nagar),	28.5769117289317,	81.6257959058102
Syangja,	28.0286722630166,	83.8692694191617
Tamghas,	28.0674288557377,	83.2441766825246
Tansen,	27.8665770304895,	83.5427978068925
Taplejung,	27.353823528239,	87.6716669525683
Tarahara,	26.7060462342093,	87.2573866181568
Taulihawa,	27.5513859057383,	83.0456931084186
Terhathum,	27.1162076068701,	87.5302952952892
Thakmarpha,	28.740909,	83.681614
Tikapur,	28.510354080946,	81.1095341105807
Timure,	28.2563833786225,	85.3678679380952
Tulsipur,	28.1534359523503,	82.3189098073722
Udayapur Gadhi,	26.9374885590283,	86.5151417382398