Station,min (2013),max (2013),avg (2013),min (2014),max (2014),avg (2014),min (2015),max (2015),avg (2015),min (2016),max (2016),avg (2016),min (2017),max (2017),avg (2017)
Anp Chour,NA,NA,NA,13.7,27.9,20.8,NA,NA,NA,NA,30,NA,NA,NA,NA
Baglung,NA,NA,NA,NA,NA,NA,15.4,26.9,21.1,NA,NA,NA,15.4,28.1,21.8
Bahrabise,NA,NA,NA,14.6,28.3,21.5,NA,NA,NA,15.3,28.5,21.9,NA,NA,NA
Baitadi,9.1,23.4,16.3,7.5,21.9,14.7,8.1,23.3,15.7,11.1,24.9,18,7.1,24.8,15.9
Bajura (Martadi),9.5,23.6,16.6,11.7,23.9,17.8,12.2,23.9,18.1,13,24.9,19,12.6,24.5,18.5
Bandipur,15.6,24.8,20.2,16,25.5,20.8,16,26.1,21.1,16.7,26.6,21.6,NA,NA,NA
Begnas,15.8,28.2,22,15.9,28.5,22.2,16.3,28.6,22.4,16,29.4,22.7,16.2,29.6,22.9
Beni Bazar,NA,NA,NA,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,NA,NA
Besishahar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhairahawa (Agric),18,30.8,24.4,18.6,30.6,24.6,19.4,31.3,25.4,19.3,31.7,25.5,19.4,31.7,25.5
Bhairahawa Airport,19.1,30.7,24.9,19,30.6,24.8,19.3,30.9,25.1,19.4,31.6,25.5,19.1,31.5,25.3
Bhaktapur,NA,NA,NA,11.2,25.5,18.3,12,26,19,12.3,26.6,19.5,12.2,26.9,19.5
Bharatpur,27.4,46,36.7,19.4,30.9,25.1,19.4,30.7,25.1,17.9,31.5,24.7,19.7,31.8,25.7
Bhimgithhe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,27.5,20.8
Bhorletar,NA,NA,NA,NA,NA,NA,18.4,29.5,23.9,17.6,29.3,23.5,NA,NA,NA
Bijuwar Tar,15.7,28.5,22.1,NA,NA,NA,15.3,29.2,22.3,15.9,NA,NA,15.7,29.9,22.8
Biratnagar Airport,19.3,31,25.2,19.4,30.6,25,19.8,30.4,25.1,19.8,31,25.4,19.9,31,25.4
Birganj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,31.8,26.1
Buddhanilakantha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butwal,NA,NA,NA,19.6,30,24.8,19.5,30.3,24.9,18.9,31.7,25.3,19.3,31.7,25.5
Chainpur (East),12.4,25.3,18.8,13.6,25.5,19.5,13.5,25,19.2,13.9,25.5,19.7,15.4,25.8,20.6
Chainpur (West),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chainpur Bajhang Aws Climate,12.9,24.5,18.7,NA,NA,NA,NA,NA,NA,13.9,27.9,20.9,NA,NA,NA
Chandra Gadhi,19.5,31.9,25.7,19.1,32.3,25.7,19.4,32.2,25.8,NA,NA,NA,NA,NA,NA
Changu Narayan,13.2,24.2,18.7,13.1,24.1,18.6,13.1,24.3,18.7,13.6,24.5,19.1,NA,NA,NA
Chapkot,16.9,28.6,22.7,17.2,29.3,23.3,17.3,29.3,23.3,17.5,30.1,23.8,NA,NA,NA
Charikot,11,21,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chatara,NA,NA,NA,NA,NA,NA,19.9,31.2,25.5,19.6,32.1,25.9,19,31.7,25.3
Chaurjhari Tar,NA,NA,NA,14.7,29.3,22,14.9,29.2,22,15.2,29.7,22.5,14.8,28.9,21.8
Chautara,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,24.6,19.3,13.6,25.4,19.5
Chhoser,0.1,14.8,7.4,NA,13.6,NA,NA,13.2,NA,1,14.5,7.7,0.5,14.4,7.4
Chisapani(Karnali),18.8,29.2,24,19.3,29.4,24.3,19.5,29.6,24.6,NA,NA,NA,NA,NA,NA
Dadeldhura,11.4,22.3,16.8,11.5,22,16.7,11.7,21.4,16.5,12.4,22.6,17.5,12.1,22,17
Dailekh,14.3,25.4,19.9,13.9,25.5,19.7,14,24.5,19.3,14.9,25.3,20.1,NA,NA,NA
Dainsili,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,25.3,19.5,14.2,21,17.6
Damak,NA,NA,NA,NA,NA,NA,16.6,31.5,24.1,18.8,31.6,25.2,NA,NA,NA
Daman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Damauli,17.9,30.3,24.1,NA,NA,NA,NA,NA,NA,17.6,30.6,24.1,NA,NA,NA
Dandaswara,11.7,24.3,18,10.9,24.7,17.8,13.1,23.8,18.5,15.2,24.3,19.8,15,24.4,19.7
Darchula,12.6,26.5,19.6,13.6,28.2,20.9,13.8,27,20.4,14.9,27.5,21.2,14.8,27,20.9
Darchula New,14.7,28.1,21.4,NA,NA,NA,14.7,28.4,21.5,15.2,29.5,22.3,15.4,29.1,22.2
Dhading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhangadhi(Attariya),18.1,30.2,24.1,17.4,30.4,23.9,17.9,30,24,18.3,31.2,24.7,18.4,31.2,24.8
Dhankuta,15.2,25.7,20.4,15.3,25.5,20.4,15.4,25.1,20.3,15.8,25.4,20.6,15.6,25.4,20.5
Dharan Bazar,20.3,29.9,25.1,20.2,29.7,24.9,20.4,29.8,25.1,20.8,30.1,25.5,20.6,30.5,25.6
Dhulikhel,NA,NA,NA,12.1,21.3,16.7,11.9,18.2,15.1,12.5,18.7,15.6,NA,NA,NA
Dhunche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhunibesi,15.8,26.9,21.3,16,27,21.5,16.6,27.6,22.1,16.5,27.8,22.1,16,27.8,21.9
Diktel,NA,NA,NA,NA,NA,NA,14,NA,NA,14.4,23.2,18.8,14.2,23,18.6
Dipal Gaun,5.3,22.3,13.8,NA,NA,NA,4.5,22.7,13.6,5.6,23.8,14.7,5.5,22.4,14
Dipayal (Doti),16,30.8,23.4,15.9,31.2,23.5,15.7,30.7,23.2,15.6,31.1,23.4,15.5,30.8,23.2
Dumkauli,19.2,29.9,24.5,18.9,30.5,24.7,19.1,NA,NA,19.2,34,26.6,19.3,33.6,26.4
Dunai,8.8,21,14.9,8.5,19.5,14,NA,NA,NA,NA,NA,NA,11.1,20.8,15.9
Gaida (Kankai),18.4,30.6,24.5,18.2,30.6,24.4,18.5,30.6,24.6,15.6,31.4,23.5,NA,NA,NA
Gam Shree Nagar,11,23.8,17.4,NA,NA,NA,NA,NA,NA,10.9,23.8,17.4,10.9,23.7,17.3
Gaur,17.1,22.6,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghale Kharka,NA,NA,NA,12.6,21.2,16.9,12.8,22.4,17.6,13.2,21.9,17.5,NA,NA,NA
Ghorai (Dang),16.2,28.7,22.5,16.2,29.1,22.6,16.4,29,22.7,16.8,29.4,23.1,16.9,29.2,23.1
Godavari,9.3,23.3,16.3,9.6,23.7,16.6,11.4,23.5,17.4,11.6,23.8,17.7,NA,24.1,NA
Godavari(West),20.2,30.9,25.5,NA,30.5,NA,19.8,30.2,25,19.7,31.4,25.5,NA,NA,NA
Gokuleshwar,15.1,28.1,21.6,NA,NA,NA,14.6,28.1,21.4,14.7,28.8,21.7,14.7,28.8,21.7
Gorkha,17,28.1,22.6,NA,NA,NA,17,28.2,22.6,17.5,28.8,23.1,17.1,28.1,22.6
Gulariya,NA,NA,NA,NA,NA,NA,18.7,30.2,24.4,18.6,31,24.8,NA,NA,NA
Gurja Khani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hardinath,NA,NA,NA,19.2,29.5,24.3,19.8,30.3,25,19.8,30.4,25.1,19.8,30.4,25.1
Hetaunda N.f.i.,17.2,29.4,23.3,17.2,29.6,23.4,17.4,29.3,23.3,17.7,29.8,23.8,17.7,29.6,23.6
Humde,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,14.6,8.3,NA,14.4,NA
Ilam Tea Estate,NA,NA,NA,13.3,24.1,18.7,13.9,23.7,18.8,15,24,19.5,NA,NA,NA
Jajarkot,NA,26.5,NA,NA,26.7,NA,NA,26.3,NA,NA,27.6,NA,NA,NA,NA
Jalesore,19.2,30.8,25,NA,NA,NA,18.8,29.9,24.4,NA,NA,NA,NA,NA,NA
Janakpur Airport,19.7,30.5,25.1,19.8,30.6,25.2,20.1,31.1,25.6,20,31.4,25.7,20.1,31.2,25.6
Jhingrana,12.9,24.5,18.7,NA,NA,NA,NA,NA,NA,13.9,27.9,20.9,13.4,27,20.2
Jiri,8.9,21,14.9,8.6,21.2,14.9,8.9,20.9,14.9,9.1,21.6,15.3,8.8,21.4,15.1
Jomsom,6.2,17.8,12,5.8,17.8,11.8,5.9,17.6,11.7,6.1,18.7,12.4,6.1,18.4,12.3
Jumla,5.5,21.6,13.6,4.9,21.9,13.4,5.3,21.5,13.4,6.4,22.2,14.3,6.4,21.6,14
Jumla A/P,5,21.2,13.1,4.4,21.8,13.1,4.3,21.4,12.9,4.3,22.5,13.4,3.6,21.8,12.7
Jyamirebari,NA,NA,NA,11.8,22.9,17.4,12.5,23.9,18.2,13,24,18.5,12.6,23,17.8
Kabre,12,22.5,17.2,12,22.9,17.5,12,22.4,17.2,NA,22.9,NA,12.6,23.1,17.9
Kaigaun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kakani,11.3,20.3,15.8,11.6,20.5,16,11.6,20.2,15.9,12,21,16.5,NA,NA,NA
Kanyam Tea Estate,10.1,20.7,15.4,10.1,21.2,15.7,12.5,20.9,16.7,NA,NA,NA,NA,NA,NA
Karmaiya,20.1,31,25.5,20.2,30.6,25.4,20.3,30.9,25.6,NA,NA,NA,20.4,31.7,26
Kathmandu Airport,12.9,26.4,19.7,13,25.9,19.5,13,26.1,19.6,13.3,26.3,19.8,13.2,26.2,19.7
Kechana,19.2,30.7,24.9,19,30.5,24.8,19.4,30.8,25.1,NA,NA,NA,19.5,30.8,25.1
Khadbari,15.8,24.7,20.3,16.3,25,20.6,16.5,NA,NA,16.9,24.8,20.9,16.5,24.9,20.7
Khairini Tar,17.1,29.4,23.3,17.3,29.9,23.6,17.3,29.8,23.6,17.4,30.4,23.9,17.5,30.2,23.8
Khajura (Nepalganj),18.5,30.4,24.5,18.3,30.7,24.5,18.7,30.9,24.8,15.3,31.7,23.5,NA,NA,NA
Khanchikot,12.9,20.9,16.9,12.3,21.2,16.7,11.9,21.1,16.5,13.1,22.1,17.6,13.2,22,17.6
Khokana,11.2,24.8,18,10.9,25.1,18,11.1,25.4,18.3,11.5,26.5,19,11.5,25.9,18.7
Khudi Bazar,15.7,NA,NA,NA,NA,NA,NA,NA,NA,16,28.4,22.2,NA,NA,NA
Khumaltar,12.6,24.5,18.6,12.6,24.9,18.7,12.5,24.7,18.6,12.8,25,18.9,13,25.4,19.2
Kushma,15,28.6,21.8,14.9,28.9,21.9,15.1,28.4,21.7,13.7,29.4,21.6,NA,NA,NA
Lahan,19.7,30.2,25,NA,NA,NA,19.9,30.5,25.2,20.4,31,25.7,19.9,31.1,25.5
Lete,6.4,17,11.7,NA,NA,NA,6.3,17.3,11.8,7.2,17.7,12.4,7.2,17.6,12.4
Libang Gaun,NA,NA,NA,11.5,25.6,18.5,9.8,25.5,17.7,13.2,26.7,19.9,13.5,26.6,20
Lumbini,NA,NA,NA,18.6,30.2,24.4,18.8,31.1,24.9,18.8,31.6,25.2,18.7,31.8,25.2
Lumbini Mandir,18.8,30.3,24.6,18.6,30.2,24.4,18.8,31.1,24.9,18.8,31.6,25.2,NA,NA,NA
Lumle,12.4,20.4,16.4,12.2,20.4,16.3,12.2,20.3,16.2,12.6,NA,NA,12.4,20.8,16.6
Mahendra Nagar,18,30,24,17.7,30,23.9,18.3,30.1,24.2,18.3,31,24.6,18.3,30.8,24.6
Malepatan (Pokhara),14.6,27.2,20.9,15.3,27.2,21.2,15.8,27.2,21.5,16.3,28.1,22.2,15.1,27.9,21.5
Mandan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mangalsen,NA,NA,NA,NA,NA,NA,13.6,25.6,19.6,14.1,26.2,20.2,13.9,25.7,19.8
Manma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,23.5,16.6
Manthali,18.1,31.5,24.8,17,31.3,24.1,16.7,31.1,23.9,NA,31.5,NA,17.3,31.2,24.3
Manusmara,19,30.4,24.7,18.6,30.4,24.5,19.6,30.4,25,19.4,30.6,25,19.2,30.7,25
Mehalkuna,NA,29.9,NA,NA,30.4,NA,16.6,30.2,23.4,NA,31,NA,NA,NA,NA
Musikot(Rukumkot),NA,NA,NA,12.1,25.1,18.6,12.2,25.1,18.6,13.7,25.7,19.7,13.8,25.3,19.5
Nagarkot,10.4,19.3,14.8,10.5,19.7,15.1,10.3,19.5,14.9,10.7,20.1,15.4,10.7,20,15.4
Nagma,NA,NA,NA,NA,NA,NA,8.1,22.3,15.2,9.1,23,16,9,22.7,15.9
Nepalgunj Airport,18.3,30.7,24.5,18,31.1,24.6,18.5,30.7,24.6,18.6,31.7,25.1,NA,NA,NA
Nepalgunj(Reg.off.),19.5,29.6,24.6,19.4,29.6,24.5,19.8,30.2,25,20,31.4,25.7,NA,NA,NA
Num,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nuwakot,16.1,28.3,22.2,16.5,27.3,21.9,NA,NA,NA,17,27.9,22.4,16.6,27.9,22.3
Okhaldhunga,11.5,22.6,17,12.3,22.4,17.4,12.9,22.4,17.6,13.6,22.8,18.2,13.1,22.8,18
Oli Gaun (Patkani),NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,22.5,17.1,14.2,28.1,21.1
Pakhribas,12.4,21.2,16.8,12.5,21.4,17,NA,NA,NA,13.1,21.7,17.4,12.9,21.5,17.2
Panchase,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,18.3,13.3,NA,NA,NA
Panchkhal,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,29.5,22.3,NA,NA,NA
Panipokhari(Kathmandu),13.6,27.7,20.6,13.7,25.9,19.8,14.7,28.7,21.7,13.7,29.8,21.7,13.6,29.2,21.4
Pansayakhola,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,21,16.8,NA,NA,NA
Parasi,17.7,31.4,24.6,18.8,31,24.9,19,31.1,25,16.9,31.7,24.3,18.7,31.4,25.1
Parwanipur,19.4,30.3,24.8,19.2,29.9,24.6,19.2,30.4,24.8,19.5,30.7,25.1,19.2,30.5,24.9
Patan (West),13.2,25.5,19.4,13.1,25.4,19.3,12.7,25.4,19,13.8,26.5,20.2,13.8,26.4,20.1
Patan New,13.4,24.2,18.8,NA,NA,NA,13.4,24.3,18.9,14,25.2,19.6,13.9,25,19.4
Phatepur,17.6,31.3,24.4,19.3,30.7,25,19.9,31,25.4,NA,NA,NA,19.8,32.1,26
Phidim (Panchther),15.8,27.3,21.5,15.7,27,21.3,NA,NA,NA,NA,27.1,NA,NA,27,NA
Pokhara Airport,16.1,27.1,21.6,15.9,27.5,21.7,16.4,27.3,21.9,16.7,28,22.3,16.4,27.9,22.1
Pokhara Reg. Off.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pusma Camp,NA,NA,NA,14.1,25.4,19.7,15,25,20,15.6,25.8,20.7,NA,NA,NA
Rajbiraj,19.6,29.9,24.7,19.9,NA,NA,20.7,30.3,25.5,21,31,26,20.8,30,25.4
Rampur,NA,30.6,NA,17.9,30.7,24.3,18.1,30.4,24.3,NA,30.9,NA,17.8,31,24.4
Rani Jaruwa Nursery,20.2,32.9,26.5,20.4,32.5,26.5,NA,NA,NA,19,32,25.5,NA,NA,NA
Rara,NA,NA,NA,NA,NA,NA,3.8,15.3,9.5,4.3,16.4,10.4,4.1,NA,NA
Salleri,2.6,24.1,13.4,NA,NA,NA,NA,20.1,NA,6.3,21.8,14,NA,NA,NA
Salyan Bazar,14.6,NA,NA,14.5,26.8,20.6,14.2,25.9,20.1,14.4,26,20.2,14.6,25.9,20.3
Sandhikharka,NA,NA,NA,NA,NA,NA,13.7,NA,NA,14.2,27.3,20.7,14.3,27.6,20.9
Sarmathang,NA,NA,NA,6.9,16.5,11.7,NA,NA,NA,7.8,16.7,12.2,7.8,16.4,12.1
Semari,15.5,30.9,23.2,NA,31.7,NA,17.9,31,24.5,18.5,32.4,25.4,18.8,32.1,25.5
Sikta,16.5,31,23.7,17.2,31,24.1,17.8,31,24.4,17.7,31.9,24.8,NA,NA,NA
Silgadhi Doti,NA,NA,NA,12.9,28.1,20.5,13.5,26.5,20,14.6,26.9,20.7,14,26.5,20.2
Simara Airport,17.7,31,24.3,17.6,30.6,24.1,18.5,31.2,24.8,18.8,31.2,25,18.3,30.9,24.6
Simikot,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,16.7,11.6,6.3,16.3,11.3
Sindhuli Madhi,17.3,29.3,23.3,NA,NA,NA,NA,NA,NA,16.3,29.9,23.1,NA,NA,NA
Siraha,17.7,31.2,24.4,16.7,31.2,24,15.7,31.8,23.8,NA,NA,NA,13.8,32.1,23
Surkhet (Birendra Nagar),15.7,29.8,22.7,15.4,29.3,22.4,15.5,29.2,22.3,15.5,29.9,22.7,15.5,29.5,22.5
Syangja,15.5,27.8,21.7,15.5,NA,NA,NA,NA,NA,15.6,28.2,21.9,15.6,28.2,21.9
Tamghas,NA,22.9,NA,12.2,23.3,17.8,12.2,NA,NA,13,24.2,18.6,12.4,23.9,18.2
Tansen,15.4,26.2,20.8,15.5,26.4,20.9,14.8,26.5,20.6,14,26.7,20.3,12.8,26.3,19.6
Taplejung,12.1,22.1,17.1,12.4,22.5,17.4,12.5,22.3,17.4,13,22.6,17.8,12.7,22.9,17.8
Tarahara,17.8,30.4,24.1,18.1,30.2,24.2,18.7,30.4,24.5,18.9,30.7,24.8,NA,NA,NA
Taulihawa,18.6,30,24.3,NA,30.1,NA,18.8,NA,NA,19.1,31.2,25.1,19.2,31.1,25.1
Terhathum,11.8,24.6,18.2,11.8,24.9,18.3,13.4,24,18.7,NA,24.4,NA,NA,NA,NA
Thakmarpha,5.5,19.5,12.5,4.8,19.2,12,5.3,19,12.1,4.4,18.8,11.6,3.9,18.1,11
Tikapur,17.9,30.7,24.3,18.4,30.6,24.5,18.6,31.1,24.8,17.9,32,24.9,17.4,31.8,24.6
Timure,11.8,22.8,17.3,11,22.9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tulsipur,NA,NA,NA,NA,NA,NA,17,27.5,22.3,17.4,28,22.7,NA,NA,NA
Udayapur Gadhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,NA,NA